Sample   	OWS	           Timestamp
        0	0  	                0 ps
        1	1  	      508.000,000 us
        2	0  	       29.000,000 us
        3	1  	      107.000,000 us
        4	0  	    4.451,000,000 ms
        5	1  	       57.000,000 us
        6	0  	        8.000,000 us
        7	1  	       57.000,000 us
        8	0  	        8.000,000 us
        9	1  	       57.000,000 us
       10	0  	        8.000,000 us
       11	1  	       57.000,000 us
       12	0  	        8.000,000 us
       13	1  	       10.000,000 us
       14	0  	       56.000,000 us
       15	1  	       10.000,000 us
       16	0  	       57.000,000 us
       17	1  	       10.000,000 us
       18	0  	       57.000,000 us
       19	1  	       10.000,000 us
       20	0  	      571.000,000 us
       21	1  	       27.000,000 us
       22	0  	       39.000,000 us
       23	1  	       11.000,000 us
       24	0  	       56.000,000 us
       25	1  	       57.000,000 us
       26	0  	        8.000,000 us
       27	1  	       27.000,000 us
       28	0  	       40.000,000 us
       29	1  	       10.000,000 us
       30	0  	       56.000,000 us
       31	1  	       57.000,000 us
       32	0  	        8.000,000 us
       33	1  	       28.000,000 us
       34	0  	       39.000,000 us
       35	1  	       10.000,000 us
       36	0  	      567.000,000 us
       37	1  	       56.000,000 us
       38	0  	        8.000,000 us
       39	1  	       11.000,000 us
       40	0  	       56.000,000 us
       41	1  	       28.000,000 us
       42	0  	       39.000,000 us
       43	1  	       10.000,000 us
       44	0  	       57.000,000 us
       45	1  	       27.000,000 us
       46	0  	       39.000,000 us
       47	1  	       11.000,000 us
       48	0  	       56.000,000 us
       49	1  	       57.000,000 us
       50	0  	        8.000,000 us
       51	1  	       10.000,000 us
       52	0  	      567.000,000 us
       53	1  	       27.000,000 us
       54	0  	       39.000,000 us
       55	1  	       11.000,000 us
       56	0  	       56.000,000 us
       57	1  	       28.000,000 us
       58	0  	       39.000,000 us
       59	1  	       10.000,000 us
       60	0  	       57.000,000 us
       61	1  	       56.000,000 us
       62	0  	        8.000,000 us
       63	1  	       28.000,000 us
       64	0  	       39.000,000 us
       65	1  	       10.000,000 us
       66	0  	       57.000,000 us
       67	1  	       57.000,000 us
       68	0  	      518.000,000 us
       69	1  	       10.000,000 us
       70	0  	       56.000,000 us
       71	1  	       28.000,000 us
       72	0  	       39.000,000 us
       73	1  	       10.000,000 us
       74	0  	       57.000,000 us
       75	1  	       10.000,000 us
       76	0  	       57.000,000 us
       77	1  	       27.000,000 us
       78	0  	       39.000,000 us
       79	1  	       11.000,000 us
       80	0  	       56.000,000 us
       81	1  	       28.000,000 us
       82	0  	       39.000,000 us
       83	1  	       10.000,000 us
       84	0  	      563.000,000 us
       85	1  	       56.000,000 us
       86	0  	        8.000,000 us
       87	1  	       11.000,000 us
       88	0  	       56.000,000 us
       89	1  	       28.000,000 us
       90	0  	       39.000,000 us
       91	1  	       10.000,000 us
       92	0  	       57.000,000 us
       93	1  	       10.000,000 us
       94	0  	       56.000,000 us
       95	1  	       28.000,000 us
       96	0  	       39.000,000 us
       97	1  	       10.000,000 us
       98	0  	       57.000,000 us
       99	1  	       27.000,000 us
      100	0  	      547.000,000 us
      101	1  	       10.000,000 us
      102	0  	       57.000,000 us
      103	1  	       57.000,000 us
      104	0  	        8.000,000 us
      105	1  	       27.000,000 us
      106	0  	       40.000,000 us
      107	1  	       10.000,000 us
      108	0  	       56.000,000 us
      109	1  	       57.000,000 us
      110	0  	        8.000,000 us
      111	1  	       10.000,000 us
      112	0  	       57.000,000 us
      113	1  	       27.000,000 us
      114	0  	       40.000,000 us
      115	1  	       10.000,000 us
      116	0  	      566.000,000 us
      117	1  	       10.000,000 us
      118	0  	       57.000,000 us
      119	1  	       27.000,000 us
      120	0  	       40.000,000 us
      121	1  	       10.000,000 us
      122	0  	       56.000,000 us
      123	1  	       11.000,000 us
      124	0  	       56.000,000 us
      125	1  	       28.000,000 us
      126	0  	       39.000,000 us
      127	1  	       10.000,000 us
      128	0  	       57.000,000 us
      129	1  	       10.000,000 us
      130	0  	       56.000,000 us
      131	1  	       28.000,000 us
      132	0  	      545.000,000 us
      133	1  	       11.000,000 us
      134	0  	       56.000,000 us
      135	1  	       10.000,000 us
      136	0  	       57.000,000 us
      137	1  	       27.000,000 us
      138	0  	       40.000,000 us
      139	1  	       10.000,000 us
      140	0  	       57.000,000 us
      141	1  	       27.000,000 us
      142	0  	       39.000,000 us
      143	1  	       10.000,000 us
      144	0  	       57.000,000 us
      145	1  	       57.000,000 us
      146	0  	        8.000,000 us
      147	1  	       27.000,000 us
      148	0  	      548.000,000 us
      149	1  	       10.000,000 us
      150	0  	       56.000,000 us
      151	1  	       57.000,000 us
